,mean,std
edad,16.741438356164384,1.1902672716712417
Medu,2.684931506849315,1.089500331804532
Pedu,2.3595890410958904,1.0415767679747232
TiempoViaje,1.5325342465753424,0.7142051073468484
TiempoEstudio,1.9623287671232876,0.8377573927982884
suspensos,0.2688356164383562,0.6479851450703684
RelFam,3.921232876712329,0.9264335350706739
TiempoLib,3.1523972602739727,1.0505545736607305
SalAm,3.095890410958904,1.1512020244844905
AlcSem,1.4554794520547945,0.8774304307533727
AlcFin,2.2585616438356166,1.2670498898207285
salud,3.535958904109589,1.4330363732375329
faltas,7.801369863013699,22.40569942899391
T1,11.188356164383562,3.0846493227128557
T2,11.241438356164384,3.3536435197046486
